model,question_id,exact_match_mean,exact_match_median,exact_match_std,exact_match_min,exact_match_max,normalized_exact_match_mean,normalized_exact_match_median,normalized_exact_match_std,normalized_exact_match_min,normalized_exact_match_max,token_f1_mean,token_f1_median,token_f1_std,token_f1_min,token_f1_max,string_similarity_mean,string_similarity_median,string_similarity_std,string_similarity_min,string_similarity_max,bleu_mean,bleu_median,bleu_std,bleu_min,bleu_max,rouge_l_mean,rouge_l_median,rouge_l_std,rouge_l_min,rouge_l_max,bertscore_precision_mean,bertscore_precision_median,bertscore_precision_std,bertscore_precision_min,bertscore_precision_max,bertscore_recall_mean,bertscore_recall_median,bertscore_recall_std,bertscore_recall_min,bertscore_recall_max,bertscore_f1_mean,bertscore_f1_median,bertscore_f1_std,bertscore_f1_min,bertscore_f1_max,judge_score_mean,judge_score_median,judge_score_std,judge_score_min,judge_score_max,n_runs,unique_responses,unique_normalized_responses,avg_response_length,response_uniqueness_rate,normalized_response_uniqueness_rate,modal_normalized_response_count,normalized_self_agreement_rate,semantic_self_similarity_mean,semantic_self_similarity_std,n_semantic_pairs
gemma3:12b,q258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13944444444444445,0.13333333333333333,0.018282758524338166,0.12499999999999999,0.16,0.19070466044758247,0.19799139167862267,0.023436014901417158,0.16449086161879894,0.2096317280453258,0.0034923990851502434,0.0035457834700168625,0.0001662708159280105,0.003305992883254157,0.00362542090217971,0.07984126984126984,0.08,0.0035740730949834023,0.07619047619047618,0.08333333333333334,0.8335590958595276,0.8350802063941956,0.003438829865828173,0.8296220302581787,0.8359750509262085,0.8351735472679138,0.8349428176879883,0.002672374677907978,0.8326240181922913,0.8379538059234619,0.8343650499979655,0.8350115418434143,0.0029745974870817485,0.8311203718185425,0.8369632363319397,0.0,0.0,0.0,0.0,0.0,3,3,3,632.6666666666666,1.0,1.0,1,0.3333333333333333,0.9487085938453674,0.027223923296424837,3
gemma3:12b,q287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1122228808261898,0.10619469026548671,0.012075922292981852,0.10434782608695653,0.12612612612612614,0.17012053129180726,0.14372716199756394,0.05692012143616621,0.1311881188118812,0.23544631306597671,0.003262079897664467,0.0032177921448438645,0.00014435051484080414,0.003145061935385489,0.0034233856127640484,0.08851406235015315,0.08849557522123894,0.0015668659747998842,0.08695652173913045,0.09009009009009009,0.8202842275301615,0.8187163472175598,0.006697502277845573,0.8145097494125366,0.8276265859603882,0.8489428758621216,0.8490417003631592,0.0008741295967405803,0.848023533821106,0.8497633934020996,0.8343595067660013,0.8331122994422913,0.00372578724042068,0.8314173221588135,0.8385488986968994,0.0,0.0,0.0,0.0,0.0,3,3,3,645.0,1.0,1.0,1,0.3333333333333333,0.9019918243090311,0.002527040004148523,3
gemma3:12b,q656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2394572300337833,0.2375,0.011264736714281031,0.22929936305732482,0.2515723270440252,0.018462417730443128,0.021611001964636542,0.005793655733195012,0.011776251226692836,0.022,0.016951001065697094,0.016783550469998406,0.0008625337588530635,0.016184470691021222,0.017884982036071657,0.16809478027480673,0.16560509554140126,0.019459442475821286,0.15000000000000002,0.18867924528301885,0.8585599859555563,0.8598957061767578,0.0027877713254306634,0.8553556799888611,0.8604285717010498,0.868471622467041,0.8673602342605591,0.002635541588796232,0.8665738105773926,0.8714808225631714,0.8634858131408691,0.8632218241691589,0.002312930297350993,0.8613162040710449,0.8659194111824036,0.9333333333333332,0.95,0.028867513459481266,0.9,0.95,3,3,3,514.0,1.0,1.0,1,0.3333333333333333,0.9642064968744913,0.015460347371062692,3
gemma3:4b,q258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09719669544230947,0.09259259259259259,0.023646856117167166,0.07619047619047618,0.12280701754385966,0.1336199639158924,0.11011523687580026,0.04075306410620632,0.11006711409395974,0.1806775407779172,0.004050689547088788,0.002938509283816023,0.0019821599768400006,0.0028743682177043654,0.006339191139745977,0.08517590271976237,0.07619047619047618,0.01742822867729195,0.07407407407407408,0.10526315789473682,0.8261125683784485,0.8268189430236816,0.001918248567135094,0.8239412903785706,0.8275774717330933,0.8309537370999655,0.8316267728805542,0.0026009861800405567,0.8280823826789856,0.8331520557403564,0.828522264957428,0.8285210728645325,0.0006930239737629367,0.8278298377990723,0.8292158842086792,0.03333333333333333,0.0,0.05773502691896258,0.0,0.1,3,3,3,686.0,1.0,1.0,1,0.3333333333333333,0.9643863638242086,0.008514138618825115,3
gemma3:4b,q287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09857177152290657,0.10256410256410255,0.01022158561178225,0.08695652173913045,0.10619469026548671,0.1646143286066856,0.17521902377972465,0.041711623779087464,0.11862396204033215,0.2,0.003099421991972008,0.0030755470738717794,0.00010842244739846127,0.003004926757200381,0.0032177921448438645,0.08117695936087625,0.08547008547008546,0.010169208953233368,0.06956521739130435,0.08849557522123894,0.8058748642603556,0.8062263131141663,0.0027784722585889967,0.802937388420105,0.8084608912467957,0.8346966107686361,0.8357340097427368,0.003209166970256624,0.8310970664024353,0.8372587561607361,0.8200324972470602,0.8207150101661682,0.0029759237702734758,0.8167746067047119,0.8226078748703003,0.0,0.0,0.0,0.0,0.0,3,3,3,678.6666666666666,1.0,1.0,1,0.3333333333333333,0.9297549525896708,0.020672375450709695,3
gemma3:4b,q656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3092031803613811,0.311377245508982,0.004441404464701565,0.30409356725146197,0.31213872832369943,0.018484440687150484,0.01834862385321101,0.00040452238973642135,0.018165304268846504,0.01893939393939394,0.019969936180348768,0.01993963673766974,0.00019733201029103345,0.019789506301229783,0.02018066550214678,0.15666682387515138,0.15204678362573099,0.009564879036528386,0.15028901734104047,0.16766467065868262,0.8555842041969299,0.8558513522148132,0.001654194427274467,0.8538126945495605,0.857088565826416,0.8690065145492554,0.8703891634941101,0.002813236310584506,0.8657695055007935,0.8708608746528625,0.8622426986694336,0.8632909059524536,0.0021682182081188667,0.8597495555877686,0.8636876344680786,0.9666666666666667,0.95,0.028867513459481298,0.95,1.0,3,3,3,591.3333333333334,1.0,1.0,1,0.3333333333333333,0.9838504791259766,0.0018690826428454227,3
gpt-4.1-nano,q258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10680547522652788,0.10526315789473685,0.0026713719800561015,0.10526315789473685,0.10989010989010989,0.1783484216087878,0.1749271137026239,0.007738140313379987,0.1729106628242075,0.187207488299532,0.0062129161824047326,0.0061021938268538195,0.00019177674534788695,0.0061021938268538195,0.006434360893506558,0.09978793136687873,0.10526315789473685,0.013687360311109946,0.08421052631578947,0.10989010989010989,0.845052440961202,0.844918966293335,0.0017273403280803489,0.8433957099914551,0.8468426465988159,0.8477238814036051,0.8477044105529785,0.0009574586957355737,0.8467763066291809,0.848690927028656,0.8463855584462484,0.846800684928894,0.001152843919647326,0.8450826406478882,0.8472733497619629,0.8666666666666667,0.8,0.11547005383792512,0.8,1.0,3,3,3,583.3333333333334,1.0,1.0,1,0.3333333333333333,0.9470611214637756,0.009488081672900741,3
gpt-4.1-nano,q287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14752284752284753,0.1616161616161616,0.028894760246167554,0.11428571428571428,0.16666666666666666,0.18218762734566982,0.19363762102351315,0.02118808597877628,0.15773809523809523,0.19518716577540107,0.003816985734845692,0.0037795830241254737,0.0002917076123030861,0.0035457834700168625,0.00412559071039474,0.10918710918710917,0.11111111111111109,0.013093465693906877,0.09523809523809523,0.1212121212121212,0.8397390047709147,0.838910698890686,0.00296744792786581,0.8372737169265747,0.8430325984954834,0.8654808203379313,0.8656861186027527,0.0016559419397892303,0.8637318015098572,0.8670245409011841,0.8524129986763,0.8518894910812378,0.0015999513521970802,0.8511403799057007,0.8542091250419617,0.0,0.0,0.0,0.0,0.0,3,3,3,550.3333333333334,1.0,1.0,1,0.3333333333333333,0.9240709543228149,0.010520858017313738,3
gpt-4.1-nano,q656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2854085178804251,0.2839506172839506,0.03112952606930442,0.25503355704697983,0.31724137931034485,0.029965019970623518,0.02416918429003021,0.02022145131388162,0.01327433628318584,0.052451539338654506,0.009795165717930068,0.008941788351932852,0.006543011621133984,0.003720715164018186,0.016722993637839165,0.14530606103030183,0.13580246913580246,0.03038826647884548,0.12080536912751677,0.1793103448275862,0.8582583467165629,0.8565823435783386,0.00648830657537692,0.8527724742889404,0.8654202222824097,0.8621666431427002,0.8629613518714905,0.004598761662322658,0.857222318649292,0.8663162589073181,0.8602065443992615,0.8597599864006042,0.005451942139677846,0.854991614818573,0.8658680319786072,1.0,1.0,0.0,1.0,1.0,3,3,3,425.3333333333333,1.0,1.0,1,0.3333333333333333,0.9122294783592224,0.0025573837724174554,3
llama3.1:8b,q258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18851823611640617,0.18604651162790695,0.03981168676317267,0.15,0.2295081967213115,0.2503412503412503,0.23863636363636365,0.07780281025332014,0.17905405405405406,0.3333333333333333,0.008015736871801389,0.00776497005434301,0.0036937449516644093,0.004453765026369045,0.01182847553469211,0.15057504130130894,0.16279069767441862,0.022156016833462543,0.125,0.1639344262295082,0.8555629650751749,0.8513492345809937,0.018949902386652576,0.8390746116638184,0.8762650489807129,0.8387329777081808,0.845159649848938,0.012969957077640305,0.8238045573234558,0.8472347259521484,0.8470292488733927,0.8492869734764099,0.014661883511507956,0.8313694596290588,0.8604313135147095,0.09999999999999999,0.0,0.17320508075688773,0.0,0.3,3,3,3,414.0,1.0,1.0,1,0.3333333333333333,0.9182490905125936,0.018915117383475497,3
